,PMID,Observational_study_characteristics
15345,22547016,retrospective studies
15346,22547016,retrospective
15347,22547016,cohort
15349,21683939,retrospective studies
15350,21683939,retrospective
15351,23528374,retrospective studies
15352,23528374,retrospective
15355,22031519,cohort studies
15356,22031519,follow-up studies
15357,22031519,cohort
15358,22031519,prospective
15363,23241659,follow-up studies
15365,22261739,prospective studies
15366,22261739,prospective
15368,23515449,follow-up studies
15369,23515449,prospective studies
15370,23515449,prospective
15372,23678656,follow-up studies
15374,23329888,case-control
15376,24113731,retrospective studies
15377,24113731,retrospective
15390,23935127,cohort
15391,23935127,prospective
15392,24001206,case-control studies
15393,24001206,case-control
15394,23483512,case-control studies
15395,23483512,case-control
15397,23659973,retrospective studies
15398,23659973,retrospective
15401,23193417,case-control studies
15402,23193417,case-control
15410,23440099,retrospective studies
15411,23440099,follow-up studies
15412,23440099,retrospective
15413,23214071,prospective
15426,22957322,longitudinal studies
15427,22957322,prospective studies
15428,22957322,longitudinal
15429,22957322,prospective
15431,23242661,case-control studies
15432,23242661,case-control
15433,23242661,cohort
15434,24268859,retrospective studies
15435,24268859,retrospective
15437,23684448,case-control studies
15438,23684448,case-control
15439,22891608,longitudinal studies
15440,22891608,longitudinal
15441,22825041,prospective
15442,24075271,retrospective studies
15443,24075271,retrospective
15444,24075271,cohort
15445,23196678,retrospective studies
15446,23196678,retrospective
15452,22358236,prospective
15454,24588244,prospective studies
15455,24588244,prospective
15456,23882731,case-control studies
15457,23882731,case-control
15458,23170961,cohort
15463,23535627,cross-sectional studies
15464,23535627,cross-sectional
15465,23111159,case-control studies
15466,23111159,case-control
15467,23111159,cohort
15468,23070829,cohort studies
15469,23070829,follow-up studies
15470,23070829,prospective studies
15471,23070829,cohort
15472,23070829,prospective
15473,22442048,prospective
15490,23709442,cross-sectional studies
15491,23709442,cross-sectional
15497,22354545,prospective
15499,23428985,prospective
15501,22613425,prospective studies
15502,22613425,retrospective
15503,22613425,prospective
15512,22382181,follow-up studies
15514,23426814,retrospective studies
15515,23426814,retrospective
15525,21786273,prospective studies
15526,21786273,longitudinal
15527,21786273,prospective
15530,22310249,prospective studies
15531,22310249,prospective
15533,22411661,retrospective studies
15534,22411661,retrospective
15535,22008631,retrospective studies
15536,22008631,follow-up studies
15537,22008631,retrospective
15540,22922229,case-control studies
15541,22922229,case-control
15546,23868618,retrospective studies
15547,23868618,retrospective
15548,23796613,retrospective studies
15549,23796613,retrospective
15551,23521078,prospective
15554,23618229,retrospective studies
15555,23618229,retrospective
15556,23185037,cross-sectional studies
15557,23185037,cross-sectional
15558,22581376,case-control studies
15559,22581376,cross-sectional studies
15560,22581376,case-control
15561,22581376,cross-sectional
15562,22489947,case-control studies
15563,22489947,case-control
15569,23170908,case-control studies
15570,23170908,case-control
15571,23170908,prospective
15576,23612147,case-control studies
15577,23612147,case-control
15579,24127308,case-control studies
15580,24127308,case-control
15583,22378091,retrospective studies
15584,22378091,retrospective
15585,23601514,cross-sectional studies
15586,23601514,cross-sectional
15587,23258570,retrospective studies
15588,23258570,retrospective
15589,23258570,prospective
15592,24306355,cohort studies
15593,24306355,cohort
15594,23732371,prospective studies
15595,23732371,prospective
15601,23579983,cohort
15602,23579983,prospective
15603,22360648,case-control studies
15604,22360648,case-control
15607,23134821,case-control studies
15608,23134821,case-control
15613,23421548,longitudinal studies
15614,23421548,cohort
15615,23421548,longitudinal
15616,21550180,prospective studies
15617,21550180,prospective
15622,24128430,cohort studies
15623,24128430,cohort
15624,22663551,cohort studies
15625,22663551,longitudinal studies
15626,22663551,cohort
15627,22663551,longitudinal
15628,22663551,cross-sectional
15629,23296438,follow-up studies
15630,23205939,retrospective studies
15631,23205939,cohort studies
15632,23205939,follow-up studies
15633,23205939,retrospective
15634,23205939,cohort
15638,22492869,follow-up studies
15639,22492869,prospective
15640,22219499,case-control studies
15641,22219499,follow-up studies
15642,22219499,case-control
15646,24231095,case-control studies
15647,24231095,case-control
15650,22985335,retrospective studies
15651,22985335,retrospective
15652,22985335,cohort
15657,22982786,follow-up studies
15660,23358401,prospective
15661,23355204,prospective studies
15662,23355204,prospective
15667,23765778,case-control studies
15668,23765778,retrospective studies
15669,23765778,prospective studies
15670,23765778,case-control
15671,23765778,retrospective
15672,23765778,prospective
15676,23072549,retrospective studies
15677,23072549,retrospective
15679,22731780,case-control studies
15680,22731780,case-control
15687,23663095,retrospective studies
15688,23663095,retrospective
15696,23060717,retrospective studies
15697,23060717,retrospective
15705,22669062,case-control studies
15706,22669062,case-control
15708,23399378,case-control studies
15709,23399378,case-control
15710,23399378,retrospective
15712,22654589,retrospective studies
15713,22654589,retrospective
15717,24286413,case-control studies
15718,24286413,case-control
15720,23229698,retrospective studies
15721,23229698,retrospective
15722,23229698,cohort
15727,23295466,prospective studies
15728,23295466,prospective
15731,23811188,retrospective studies
15732,23811188,retrospective
15746,24386393,cohort studies
15747,24386393,cohort
15749,22972181,case-control studies
15750,22972181,case-control
15751,22554965,case-control studies
15752,22554965,case-control
15753,23177093,retrospective studies
15754,23177093,retrospective
15760,24033537,retrospective studies
15761,24033537,retrospective
15766,23675779,case-control studies
15767,23675779,case-control
15769,22509692,retrospective studies
15770,22509692,retrospective
15773,23348395,cohort studies
15774,23348395,follow-up studies
15775,23348395,cohort
15776,23265134,follow-up studies
15777,22982787,prospective studies
15778,22982787,prospective
15780,22496495,case-control studies
15781,22496495,case-control
15793,23161182,prospective studies
15794,23161182,prospective
15800,21959369,prospective studies
15801,21959369,prospective
15802,21801340,prospective studies
15803,21801340,prospective
15805,22745141,cross-sectional studies
15806,22745141,cross-sectional
15807,23743527,retrospective studies
15808,23743527,retrospective
15810,24246805,retrospective studies
15811,24246805,retrospective
15819,22465395,retrospective studies
15820,22465395,follow-up studies
15821,22465395,retrospective
15823,23638863,case-control studies
15824,23638863,case-control
15826,23062582,retrospective studies
15827,23062582,cohort studies
15828,23062582,retrospective
15829,23062582,cohort
15830,22816799,case-control studies
15831,22816799,case-control
15833,24262983,case-control studies
15834,24262983,case-control
15835,23924986,case-control
15837,23138201,retrospective studies
15838,23138201,retrospective
15839,23138201,cohort
15841,23866706,retrospective studies
15842,23866706,retrospective
15844,22774612,case-control studies
15845,22774612,case-control
15847,23166817,retrospective studies
15848,23166817,prospective studies
15849,23166817,retrospective
15850,23166817,prospective
15851,22907781,prospective studies
15852,22907781,prospective
15855,23759259,prospective
15858,23907627,retrospective studies
15859,23907627,retrospective
15863,22669051,retrospective studies
15864,22669051,follow-up studies
15865,22669051,retrospective
15868,21868592,retrospective studies
15869,21868592,retrospective
15871,23808640,retrospective
15872,23808640,prospective
15874,23558759,retrospective studies
15875,23558759,follow-up studies
15876,23558759,retrospective
15879,22124787,prospective studies
15880,22124787,cohort
15881,22124787,prospective
15888,22333849,retrospective studies
15889,22333849,retrospective
15891,23685424,prospective
15897,22049174,retrospective studies
15898,22049174,cohort studies
15899,22049174,retrospective
15900,22049174,cohort
15904,21978591,retrospective studies
15905,21978591,cross-sectional studies
15906,21978591,retrospective
15907,21978591,cross-sectional
15908,23954255,case-control studies
15909,23954255,case-control
15912,22942262,case-control studies
15913,22942262,cohort studies
15914,22942262,case-control
15915,22942262,cohort
15919,23611318,retrospective studies
15920,23611318,retrospective
15925,24081513,case-control studies
15926,24081513,case-control
15928,22853844,follow-up studies
15932,22673349,case-control
15933,22662162,case-control studies
15934,22662162,case-control
15941,23839980,retrospective studies
15942,23839980,cohort studies
15943,23839980,follow-up studies
15944,23839980,retrospective
15945,23839980,cohort
15946,22968823,follow-up studies
15947,22968823,prospective studies
15948,22968823,prospective
15953,22706687,case-control studies
15954,22706687,case-control
15955,22547422,case-control studies
15956,22547422,case-control
15963,23237747,retrospective studies
15964,23237747,follow-up studies
15965,23237747,retrospective
15967,22540955,follow-up studies
15968,22540955,prospective studies
15969,22540955,prospective
15972,23092922,follow-up studies
15974,24311923,retrospective studies
15975,24311923,follow-up studies
15976,24311923,cross-sectional studies
15977,24311923,retrospective
15978,24311923,cross-sectional
15983,21946543,cross-sectional
15984,24457627,retrospective studies
15985,24457627,retrospective
15987,24238052,retrospective studies
15988,24238052,cross-sectional studies
15989,24238052,retrospective
15990,24238052,cross-sectional
15994,23164360,cohort
15997,23803013,case-control studies
15998,23803013,case-control
16000,22863718,case-control studies
16001,22863718,case-control
